property_name,areaWithType,square_feet,transaction,status,floor,furnishing,price_per_sqft,num_floor,price_lakh,bhk
"2 BHK Apartment for Sale in Stuti Empress, Palanpur Surat",Super Area,1250.0,Resale,Ready to Move,11,Semi-Furnished,3280.0,12,41.0,2.0
2 BHK  House for Sale in Godadara Surat,Super Area,1235.0,Resale,Ready to Move,1,Unfurnished,3239.0,2,40.0,2.0
"2 BHK Apartment for Sale in Parishram Park, Jahangirabad Surat",Super Area,970.0,Resale,Ready to Move,3,Furnished,3918.0,5,38.0,2.0
1 BHK Builder Floor for Sale in Piplod Surat,Super Area,785.0,Resale,Ready to Move,2,Semi-Furnished,4076.0,4,32.0,1.0
"2 BHK Apartment for Sale in Ramaa Residency, Jahangirabad Surat",Carpet Area,650.0,Resale,Ready to Move,9,Furnished,3814.0,13,45.0,2.0
2 BHK  House for Sale in Madhuvan Bungalow Dindoli Surat,Super Area,456.0,Resale,Ready to Move,1,Furnished,9430.0,1,43.0,2.0
2 BHK Apartment for Sale in Kailash Nagar Surat,Super Area,1000.0,Resale,Ready to Move,5,Unfurnished,3500.0,5,35.0,2.0
1 BHK Builder Floor for Sale in Amroli Surat,Super Area,480.0,Resale,Ready to Move,1,Unfurnished,1979.0,4,9.5,1.0
"2 BHK Apartment for Sale in Vaishnodevi Residency, Dahin Nagar Surat",Carpet Area,1058.0,Resale,Ready to Move,1,Furnished,3214.0,7,34.0,2.0
"2 BHK Apartment for Sale in Nakshatra Solitaire, Palanpur Surat",Super Area,1203.0,Resale,Ready to Move,6,Unfurnished,3832.0,12,46.1,2.0
2 BHK Apartment for Sale in Umra Surat,Carpet Area,625.0,Resale,Ready to Move,3,Unfurnished,7564.0,3,50.0,2.0
"1 BHK Apartment for Sale in Jivandeep Swastik Pride, Surat City Surat",Carpet Area,575.0,Resale,Ready to Move,3,Semi-Furnished,2667.0,10,20.0,1.0
"2 BHK Apartment for Sale in Siddhi Vinayak Heights, Pal Surat",Super Area,1200.0,Resale,Ready to Move,7,Unfurnished,3750.0,14,45.0,2.0
"2 BHK Apartment for Sale in Vaidehi Heights, Dindoli Surat",Carpet Area,1050.0,Resale,Ready to Move,2,Furnished,3477.0,12,36.5,2.0
2 BHK  House for Sale in Chalthan Surat,Carpet Area,1450.0,Resale,Ready to Move,0,Unfurnished,2118.0,1,36.0,2.0
2 BHK Apartment for Sale in Palanpur Surat,Super Area,1500.0,Resale,Ready to Move,4,Semi-Furnished,3333.0,5,50.0,2.0
"2 BHK Apartment for Sale in Meera Avenue, Khadsad Surat",Super Area,1251.0,Resale,Ready to Move,8,Unfurnished,3437.0,13,43.0,2.0
4 BHK  House for Sale in Dindoli Surat,Super Area,900.0,Resale,Ready to Move,0,Unfurnished,3111.0,2,28.0,4.0
1 BHK Apartment for Sale in Angan Appartment Surat,Carpet Area,695.0,Resale,Ready to Move,3,Furnished,3022.0,4,21.0,1.0
"1 BHK Apartment for Sale in Ambika Township, Dindoli Surat",Super Area,630.0,Resale,Ready to Move,4,Unfurnished,2381.0,5,15.0,1.0
2 BHK Apartment for Sale in Udhana Surat,Super Area,650.0,Resale,Ready to Move,4,Unfurnished,5385.0,5,35.0,2.0
"1 BHK Penthouse for Sale in Echo Point, Althan Surat",Super Area,1190.0,Resale,Ready to Move,11,Furnished,3613.0,11,43.0,1.0
"2 BHK Apartment for Sale in Shyam enclave, Jahangirabad Surat",Carpet Area,700.0,Resale,Ready to Move,13,Semi-Furnished,3200.0,14,40.0,2.0
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,750.0,New Property,Ready to Move,9,Unfurnished,3800.0,14,47.5,2.0
1 BHK Builder Floor for Sale in Sachin Surat,Super Area,550.0,Resale,Ready to Move,3,Unfurnished,1682.0,4,9.3,1.0
"2 BHK Apartment for Sale in Rajhans Platinum, Palanpur Surat",Super Area,1170.0,Resale,Ready to Move,4,Semi-Furnished,3675.0,6,43.0,2.0
1 BHK Apartment for Sale in Jahangir Pura Surat,Super Area,500.0,Resale,Ready to Move,2,Unfurnished,4400.0,7,22.0,1.0
"2 BHK Builder Floor for Sale in Vitthal Bunglows, Bardoli Surat",Super Area,1300.0,Resale,Ready to Move,3,Unfurnished,1615.0,6,21.0,2.0
